instr,baseline_count,baseline_pct,opt_count,opt_pct,delta(opt-base),ratio(opt/base)
ADD,16,0.000,64,0.000,48,4.0
ADDI,4194576,4.401,4195680,4.874,1104,1.0002631970430385
AUIPC,4997472,5.243,4466240,5.189,-531232,0.8936998546465093
BARRIER,65536,0.069,65536,0.076,0,1.0
BEQ,8,0.000,32,0.000,24,4.0
BGE,8456,0.009,8192,0.010,-264,0.9687795648060549
CSRRS,144,0.000,704,0.001,560,4.888888888888889
CSRRW,16,0.000,64,0.000,48,4.0
ENDPRG,8,0.000,32,0.000,24,4.0
JAL,9488064,9.955,8442304,9.808,-1045760,0.8897815191803091
JALR,96,0.000,640,0.001,544,6.666666666666667
JOIN,803104,0.843,271040,0.315,-532064,0.337490536717536
JUMP,4744088,4.977,4221504,4.904,-522584,0.8898452136638275
LUI,540680,0.567,16416,0.019,-524264,0.030361766664200637
LW,1081760,1.135,34560,0.040,-1047200,0.03194793669575507
MUL,24,0.000,96,0.000,72,4.0
REGEXT,452,0.000,736,0.001,284,1.6283185840707965
SETRPC,9994848,10.486,8932096,10.377,-1062752,0.8936700187936825
SW,104,0.000,480,0.001,376,4.615384615384615
VADD,14180680,14.878,13919584,16.171,-261096,0.9815879069268892
VADD12,4464896,4.684,4465152,5.187,256,1.0000573361619174
VAND,532480,0.559,0,0.000,-532480,0.0
VBEQ,9437248,9.901,8389120,9.746,-1048128,0.8889371138704842
VBGE,0,0.000,1088,0.001,1088,inf
VBLT,541200,0.568,541760,0.629,560,1.0010347376201034
VBNE,16400,0.017,128,0.000,-16272,0.007804878048780488
VDIVU,8,0.000,32,0.000,24,4.0
VFMADD,4194304,4.401,4194304,4.873,0,1.0
VID,16,0.000,64,0.000,48,4.0
VLW,40,0.000,512,0.001,472,12.8
VLW12,17825792,18.702,17825792,20.709,0,1.0
VMADD,262144,0.275,262656,0.305,512,1.001953125
VMSLT,1064960,1.117,0,0.000,-1064960,0.0
VMUL,512,0.001,512,0.001,0,1.0
VMV,5809024,6.095,4753248,5.522,-1055776,0.8182524293237556
VREMU,16,0.000,64,0.000,48,4.0
VSETVLI,8,0.000,32,0.000,24,4.0
VSLL,532512,0.559,532672,0.619,160,1.0003004627125773
VSW,24,0.000,384,0.000,360,16.0
VSW12,532480,0.559,532480,0.619,0,1.0
