instr(prev),base_samples,base_mean_ns,base_p90_ns~,opt_samples,opt_mean_ns,opt_p90_ns~
ADD,16,50.000,96,64,50.000,96
ADDI,4194576,84.351,96,4195671,84.476,96
AUIPC,4997472,36.102,48,4466240,41.619,48
BARRIER,33154,4019.730,6144,65536,2042.812,6144
BEQ,8,10.000,12,32,10.000,12
BGE,8456,40.179,48,8192,40.006,48
CSRRS,144,159.583,96,704,183.892,96
CSRRW,8,10.000,12,34,10.000,12
ENDPRG,0,0.000,0,16,186.250,384
JAL,7126468,43.129,96,6328858,43.051,96
JALR,77,20.519,48,482,18.071,48
JOIN,803104,622.129,1536,271040,95.132,96
JUMP,2361561,109.260,96,2113632,109.264,96
LUI,540680,29.038,48,16416,47.942,48
LW,1081751,107.104,96,34476,136.375,96
MUL,24,82.917,96,96,81.042,96
REGEXT,452,14.181,24,736,22.717,24
SETRPC,9994848,43.326,96,8932096,43.235,96
SW,103,217.864,768,474,635.696,96
VADD,13983987,44.838,96,13722828,43.960,48
VADD12,4464896,22.111,48,4465152,20.882,48
VAND,532480,2574.821,3072,0,0.000,0
VBEQ,4718624,48.757,48,4194560,50.859,96
VBGE,0,0.000,0,544,44.632,48
VBLT,270600,121.036,192,270880,109.230,192
VBNE,8200,109.945,96,64,42.812,48
VDIVU,8,40.000,48,32,38.750,48
VFMADD,4194304,27.374,48,4194304,25.234,48
VID,16,91.875,96,63,226.508,96
VLW,40,280.000,192,500,189.860,384
VLW12,17467236,46.209,96,17629186,149.518,96
VMADD,262144,81.288,96,262656,79.921,96
VMSLT,1064960,478.175,1536,0,0.000,0
VMUL,512,39.277,48,512,52.930,96
VMV,5808792,55.457,96,4752999,64.220,96
VREMU,14,135.000,384,56,318.393,768
VSETVLI,8,45.000,48,32,45.000,48
VSLL,532512,86.227,96,532672,85.216,96
VSW,24,43.333,48,354,67.740,48
VSW12,532480,848.281,3072,532480,774.265,3072
