log,512512512.log
total_instr,95314196
duration_ns(approx),866288600
instr_per_ns(approx),0.110026
active_sms,1

SM,instr,sm_dur_ns(approx),instr_per_ns(approx)
1,95314196,866288600,0.110026

TopInstructions,count,pct_of_total
VLW12,17825792,18.702
VADD,14180680,14.878
SETRPC,9994848,10.486
JAL,9488064,9.955
VBEQ,9437248,9.901
VMV,5809024,6.095
AUIPC,4997472,5.243
JUMP,4744088,4.977
VADD12,4464896,4.684
ADDI,4194576,4.401
VFMADD,4194304,4.401
LW,1081760,1.135
VMSLT,1064960,1.117
JOIN,803104,0.843
VBLT,541200,0.568
LUI,540680,0.567
VSLL,532512,0.559
VAND,532480,0.559
VSW12,532480,0.559
VMADD,262144,0.275
