log,512.log
total_instr,86076000
duration_ns(approx),378897730
instr_per_ns(approx),0.227175
active_sms,2

SM,instr,sm_dur_ns(approx),instr_per_ns(approx)
0,43038000,378897720,0.113587
1,43038000,378739570,0.113635

TopInstructions,count,pct_of_total
VLW12,17825792,20.709
VADD,13919584,16.171
SETRPC,8932096,10.377
JAL,8442304,9.808
VBEQ,8389120,9.746
VMV,4753248,5.522
AUIPC,4466240,5.189
VADD12,4465152,5.187
JUMP,4221504,4.904
ADDI,4195680,4.874
VFMADD,4194304,4.873
VBLT,541760,0.629
VSLL,532672,0.619
VSW12,532480,0.619
JOIN,271040,0.315
VMADD,262656,0.305
BARRIER,65536,0.076
LW,34560,0.040
LUI,16416,0.019
BGE,8192,0.010
