seq_idx,pc,opcode,run_len
0,0x800002ec,VADD_VX,1
1,0x800002f0,VADD_VV,1
2,0x800002f4,VLW12_V,2
3,0x800002f8,VLW12_V,2
4,0x800002fc,VFMADD_VV,1
5,0x80000300,VADD_VI,1
6,0x80000304,ADDI,1
7,0x80000308,VMV_V_X,1
8,0x8000030c,VADD12_VI,1
9,0x80000310,AUIPC,1
10,0x80000314,SETRPC,2
11,0x80000318,VBEQ,2
12,0x8000031c,JAL,1
13,0x800002ec,VADD_VX,1
14,0x800002f0,VADD_VV,1
15,0x800002f4,VLW12_V,2
16,0x800002f8,VLW12_V,2
17,0x800002fc,VFMADD_VV,1
18,0x80000300,VADD_VI,1
19,0x80000304,ADDI,1
20,0x80000308,VMV_V_X,1
21,0x8000030c,VADD12_VI,1
22,0x80000310,AUIPC,1
23,0x80000314,SETRPC,2
24,0x80000318,VBEQ,2
25,0x8000031c,JAL,1
