prev_pc,prev_op,stall_total_ns,stall_count,stall_mean_ns
0x80000244,VAND_VV,719228200,262140,2743.6797131303883
0x8000028c,VAND_VV,651627220,262141,2485.789021938575
0x800002b8,VSW12_V,554026180,226274,2448.4747695272104
0x80000274,VMSLT_VX,478771490,262144,1826.368293762207
0x800002b4,JOIN,448834250,262144,1712.1667861938477
0x800001e4,VADD_VV,34216180,8187,4179.33064614633
0x800001f8,LW,27040440,8188,3302.447484123107
0x800002d4,VMV_V_X,18637890,32697,570.0183503073677
0x800002c0,VMV_V_X,1378340,386,3570.8290155440413
0x800000f4,LW,28430,9,3158.8888888888887
0x800000e4,LW,27680,8,3460.0
0x800000ec,LW,27680,8,3460.0
0x80000068,LW,23110,10,2311.0
0x800000dc,LW,21620,8,2702.5
0x8000006c,LW,21000,12,1750.0
0x80000414,LW,19160,6,3193.3333333333335
0x800003dc,VADD_VX,18990,5,3798.0
0x800000fc,LW,17640,7,2520.0
0x80000088,SW,15090,8,1886.25
0x800000d4,LW,13080,7,1868.5714285714287
0x80000070,LW,10050,7,1435.7142857142858
0x800003e0,LW,9780,7,1397.142857142857
0x80000084,ADDI,9590,6,1598.3333333333333
0x800003cc,CSRRS,9580,2,4790.0
0x80000124,VLW_V,9400,3,3133.3333333333335
0x8000040c,VADD_VX,8770,2,4385.0
0x80000064,CSRRS,8690,4,2172.5
0x800003d0,LW,8300,4,2075.0
0x800003f4,ADDI,7670,2,3835.0
0x800003c4,ADDI,7540,1,7540.0
0x80000410,LW,6130,4,1532.5
0x80000400,LW,6000,4,1500.0
0x800000cc,VMV_V_X,5330,2,2665.0
0x8000034c,ADDI,3220,2,1610.0
0x80000074,LW,3180,2,1590.0
0x8000043c,JOIN,3060,3,1020.0
0x800003b4,JOIN,2420,2,1210.0
0x800001f4,LUI,2170,2,1085.0
0x800000f8,SW,1440,2,720.0
0x80000354,VADD_VX,1110,1,1110.0
0x800000d0,SW,960,1,960.0
0x80000128,LW,560,1,560.0
0x800003bc,ADDI,500,1,500.0
