prev_op,next_op,stall_total_ns,stall_count,stall_mean_ns
VAND_VV,LW,1370855420,524281,2614.7341215874694
VSW12_V,VMV_V_X,554026180,226274,2448.4747695272104
VMSLT_VX,VLW12_V,478771490,262144,1826.368293762207
JOIN,VLW12_V,448834250,262144,1712.1667861938477
VADD_VV,LW,34216180,8187,4179.33064614633
LW,LW,27275210,8287,3291.324966815494
VMV_V_X,AUIPC,18637890,32697,570.0183503073677
VMV_V_X,VADD_VX,1378340,386,3570.8290155440413
VADD_VX,LW,27760,7,3965.714285714286
CSRRS,LW,16590,5,3318.0
SW,LW,13950,9,1550.0
ADDI,LW,10090,7,1441.4285714285713
ADDI,SW,9180,2,4590.0
VLW_V,VSW_V,8650,2,4325.0
ADDI,CSRRS,8050,2,4025.0
LW,SW,4790,3,1596.6666666666667
JOIN,LW,4540,4,1135.0
LW,AUIPC,3840,2,1920.0
SW,SW,3540,2,1770.0
VMV_V_X,SW,2680,1,2680.0
VMV_V_X,LW,2650,1,2650.0
LUI,LW,2170,2,1085.0
CSRRS,SW,1680,1,1680.0
ADDI,VADD_VX,1200,1,1200.0
VADD_VX,SW,1110,1,1110.0
JOIN,ADDI,940,1,940.0
VLW_V,LW,750,1,750.0
