rank,gap_ns,gap_cycles,sm,warp,time_ns,prev_pc,prev_op,curr_pc,curr_op,block,warp_in_block
1,53930,5393.000,1,2,161075,0x80000294,VSW12_V,0x8000029c,VMV_V_X,2,1
2,53910,5391.000,1,3,161075,0x80000294,VSW12_V,0x8000029c,VMV_V_X,2,2
3,37250,3725.000,0,2,162845,0x80000294,VSW12_V,0x8000029c,VMV_V_X,3,1
4,37040,3704.000,0,3,162845,0x80000294,VSW12_V,0x8000029c,VMV_V_X,3,2
5,34510,3451.000,1,6,354995,0x80000294,VSW12_V,0x8000029c,VMV_V_X,2,5
6,32590,3259.000,1,3,354995,0x80000294,VSW12_V,0x8000029c,VMV_V_X,2,2
7,30760,3076.000,1,1,307905,0x800000f4,LW,0x800000f4,LW,2,0
8,30590,3059.000,0,5,307485,0x800000dc,LW,0x800000dc,LW,3,4
9,30230,3023.000,1,7,355035,0x80000294,VSW12_V,0x8000029c,VMV_V_X,2,6
10,29740,2974.000,0,4,305865,0x800000dc,LW,0x800000dc,LW,3,3
11,29740,2974.000,1,2,305445,0x800000f4,LW,0x800000f4,LW,2,1
12,29510,2951.000,0,3,306045,0x800000dc,LW,0x800000dc,LW,3,2
13,29510,2951.000,0,0,306225,0x800000dc,LW,0x800000dc,LW,3,7
14,28720,2872.000,1,5,304185,0x800000f4,LW,0x800000f4,LW,2,4
15,28720,2872.000,1,0,304005,0x80000104,LW,0x80000104,LW,2,7
16,28550,2855.000,1,7,161115,0x80000294,VSW12_V,0x8000029c,VMV_V_X,2,6
17,28540,2854.000,0,1,303405,0x800000dc,LW,0x800000dc,LW,3,0
18,28480,2848.000,1,4,303585,0x800000ec,LW,0x800000ec,LW,2,3
19,28230,2823.000,1,0,355015,0x80000294,VSW12_V,0x8000029c,VMV_V_X,2,7
20,28090,2809.000,0,7,301695,0x800000dc,LW,0x800000dc,LW,3,6
21,28050,2805.000,0,2,301935,0x800000dc,LW,0x800000dc,LW,3,1
22,27810,2781.000,1,7,301395,0x80000104,LW,0x80000104,LW,2,6
23,27490,2749.000,0,6,302175,0x800000dc,LW,0x800000dc,LW,3,5
24,23850,2385.000,1,6,301575,0x80000458,LW,0x80000468,LW,2,5
25,23670,2367.000,1,3,301395,0x80000458,LW,0x80000468,LW,2,2
26,20790,2079.000,1,1,44745,0x80000088,SW,0x80000074,LW,2,0
27,20770,2077.000,1,5,89565,0x800000fc,LW,0x800000fc,LW,2,4
28,20610,2061.000,0,1,44925,0x80000088,SW,0x80000074,LW,3,0
29,20010,2001.000,1,0,45165,0x80000088,SW,0x80000074,LW,2,7
30,19970,1997.000,0,0,94245,0x800000fc,LW,0x800000fc,LW,3,7
31,19960,1996.000,0,4,94065,0x80000104,LW,0x80000104,LW,3,3
32,19890,1989.000,0,0,45405,0x80000088,SW,0x80000074,LW,3,7
33,19870,1987.000,0,7,92025,0x80000104,LW,0x80000104,LW,3,6
34,19870,1987.000,1,1,92205,0x800000fc,LW,0x800000fc,LW,2,0
35,19870,1987.000,1,4,94425,0x80000104,LW,0x80000104,LW,2,3
36,19740,1974.000,1,0,93645,0x800000fc,LW,0x800000fc,LW,2,7
37,19630,1963.000,1,7,91605,0x80000104,LW,0x80000104,LW,2,6
38,19600,1960.000,0,5,89985,0x800000fc,LW,0x800000fc,LW,3,4
39,19580,1958.000,0,1,92385,0x800000fc,LW,0x800000fc,LW,3,0
40,19420,1942.000,0,6,90165,0x800000fc,LW,0x800000fc,LW,3,5
41,19260,1926.000,0,6,43515,0x80000088,SW,0x80000074,LW,3,5
42,19140,1914.000,1,6,43035,0x80000088,SW,0x80000074,LW,2,5
43,19130,1913.000,1,6,90345,0x800000fc,LW,0x800000fc,LW,2,5
44,19040,1904.000,0,5,43275,0x80000088,SW,0x80000074,LW,3,4
45,18920,1892.000,1,5,42795,0x80000088,SW,0x80000074,LW,2,4
46,18860,1886.000,1,4,45715,0x800000dc,LW,0x800000dc,LW,2,3
47,18850,1885.000,0,4,45885,0x800000dc,LW,0x800000dc,LW,3,3
48,18790,1879.000,1,7,45045,0x800000dc,LW,0x800000dc,LW,2,6
49,18620,1862.000,0,7,45295,0x800000dc,LW,0x800000dc,LW,3,6
50,18060,1806.000,1,5,355015,0x80000294,VSW12_V,0x8000029c,VMV_V_X,2,4
51,17990,1799.000,0,3,43825,0x800000e4,LW,0x800000e4,LW,3,2
52,17800,1780.000,0,2,43395,0x800000e4,LW,0x800000e4,LW,3,1
53,17790,1779.000,1,4,161095,0x80000294,VSW12_V,0x8000029c,VMV_V_X,2,3
54,17750,1775.000,1,3,43165,0x800000e4,LW,0x800000e4,LW,2,2
55,17680,1768.000,1,2,42915,0x800000e4,LW,0x800000e4,LW,2,1
56,16960,1696.000,1,1,129645,0x8000049c,LW,0x80000488,LW,2,0
57,16960,1696.000,1,3,252435,0x800000cc,VMV_V_X,0x800000d0,SW,2,2
58,16930,1693.000,1,6,252455,0x800000cc,VMV_V_X,0x800000d8,VSW_V,2,5
59,16710,1671.000,0,5,249435,0x80000064,CSRRS,0x80000068,LW,3,4
60,16520,1652.000,0,0,249255,0x80000064,CSRRS,0x80000068,LW,3,7
61,16220,1622.000,0,6,248895,0x80000068,LW,0x8000006c,LW,3,5
62,16090,1609.000,1,1,251065,0x8000006c,LW,0x80000074,LW,2,0
63,16050,1605.000,1,2,250845,0x8000006c,LW,0x80000074,LW,2,1
64,16050,1605.000,1,4,251205,0x8000006c,LW,0x80000074,LW,2,3
65,16050,1605.000,1,5,250665,0x8000006c,LW,0x80000074,LW,2,4
66,15960,1596.000,0,7,354375,0x80000488,LW,0x80000498,LW,3,6
67,15780,1578.000,0,5,354015,0x80000458,LW,0x80000468,LW,3,4
68,15700,1570.000,0,6,126615,0x80000498,LW,0x80000488,LW,3,5
69,15590,1559.000,0,7,162885,0x80000294,VSW12_V,0x8000029c,VMV_V_X,3,6
70,15590,1559.000,1,0,250845,0x80000084,ADDI,0x80000070,LW,2,7
71,15510,1551.000,1,7,250665,0x80000084,ADDI,0x80000070,LW,2,6
72,15060,1506.000,0,2,353835,0x80000488,LW,0x80000498,LW,3,1
73,15000,1500.000,0,1,247665,0x80000068,LW,0x8000006c,LW,3,0
74,14790,1479.000,1,2,351315,0x80000290,JOIN,0x8000028c,VLW12_V,2,1
75,14750,1475.000,0,2,89685,0x80000498,LW,0x80000488,LW,3,1
76,14730,1473.000,1,2,89265,0x80000488,LW,0x80000498,LW,2,1
77,14720,1472.000,0,3,89685,0x80000484,CSRRS,0x80000488,LW,3,2
78,14670,1467.000,0,3,247305,0x80000064,CSRRS,0x80000068,LW,3,2
79,14610,1461.000,0,7,247305,0x80000070,LW,0x80000068,LW,3,6
80,14510,1451.000,0,4,247125,0x80000064,CSRRS,0x80000068,LW,3,3
