sm,warp,pc,opcode,delta_bytes,count
1,0,0x800002f4,VLW12_V,4,491520
1,0,0x800002f4,VLW12_V,-60,32767
1,0,0x800002f8,VLW12_V,64,491520
1,0,0x800002f8,VLW12_V,-960,32767
1,0,0x80000240,LW,0,32767
1,0,0x80000268,VLW12_V,64,31744
1,0,0x80000268,VLW12_V,-1984,992
1,0,0x80000268,VLW12_V,30784,31
1,0,0x80000288,LW,0,32767
1,0,0x800002b0,VLW12_V,32768,31744
1,0,0x800002b0,VLW12_V,-1015744,992
1,0,0x800002b0,VLW12_V,-1017792,31
1,0,0x800001e0,LW,0,1023
1,0,0x800001f8,LW,0,1023
1,0,0x800003b8,LW,0,1
