pc,opcode,count,min_addr,max_addr,broadcast_ratio,contig4_ratio
0x800002f4,VLW12_V,524288,0x70002b80,0x70002bfc,0,0
0x800002f8,VLW12_V,524288,0x70002400,0x700027fc,0,1
0x80000240,LW,32768,0x80003008,0x80003008,1,0
0x80000268,VLW12_V,32768,0x90007000,0x900ffffc,0,0
0x80000288,LW,32768,0x80003008,0x80003008,1,0
0x800002b0,VLW12_V,32768,0x90107000,0x901ffffc,0,0
0x800001e0,LW,1024,0x80003008,0x80003008,1,0
0x800001f8,LW,1024,0x80003008,0x80003008,1,0
0x800003b8,LW,2,0x70001c1c,0x70001c1c,1,0
0x80000068,LW,1,0x90401000,0x90401000,1,0
0x8000006c,LW,1,0x90401004,0x90401004,1,0
0x80000070,LW,1,0x90401030,0x90401030,1,0
0x80000074,LW,1,0x90401034,0x90401034,1,0
0x800000d4,LW,1,0x90300014,0x90300014,1,0
0x800000dc,LW,1,0x90300010,0x90300010,1,0
0x800000e4,LW,1,0x9030000c,0x9030000c,1,0
0x800000ec,LW,1,0x90300008,0x90300008,1,0
0x800000f4,LW,1,0x90300004,0x90300004,1,0
0x800000fc,LW,1,0x90300000,0x90300000,1,0
0x80000124,VLW_V,1,0x903e1000,0x903e107c,0,1
0x80000128,LW,1,0x70001c04,0x70001c04,1,0
0x8000012c,LW,1,0x70001c08,0x70001c08,1,0
0x80000130,LW,1,0x70001c0c,0x70001c0c,1,0
0x80000134,LW,1,0x70001c10,0x70001c10,1,0
0x80000138,LW,1,0x70001c14,0x70001c14,1,0
0x8000013c,LW,1,0x70001c18,0x70001c18,1,0
0x800001a4,LW,1,0x70001c00,0x70001c00,1,0
0x800003d0,LW,1,0x90401008,0x90401008,1,0
0x800003e0,LW,1,0x90401018,0x90401018,1,0
0x800003e8,LW,1,0x70001c20,0x70001c20,1,0
0x80000400,LW,1,0x90401008,0x90401008,1,0
0x80000410,LW,1,0x90401018,0x90401018,1,0
0x80000414,LW,1,0x9040101c,0x9040101c,1,0
0x80000440,LW,1,0x70001c20,0x70001c20,1,0
