sm,block,warp_in_block,t_first_ns,t_last_ns,warp_wall_ns,exec_total,stall_count,stall_sum_gap_ns,stall_mean_ns
0,1,2,25,191850145,191850120,2687828,2687827,191850120,71.37740635837054
0,1,1,25,191850125,191850100,2687828,2687827,191850100,71.37739891741545
0,1,4,25,191850105,191850080,2687828,2687827,191850080,71.37739147646035
0,1,7,25,191850105,191850080,2687828,2687827,191850080,71.37739147646035
0,1,0,25,191850095,191850070,2687828,2687827,191850070,71.37738775598281
0,1,3,25,191850035,191850010,2687828,2687827,191850010,71.37736543311753
0,1,5,25,191849985,191849960,2687828,2687827,191849960,71.3773468307298
0,1,6,25,191849955,191849930,2687828,2687827,191849930,71.37733566929717
1,0,1,15,191805745,191805730,2687828,2687827,191805730,71.36089115854554
1,0,4,15,191805725,191805710,2687828,2687827,191805710,71.36088371759045
1,0,2,15,191805705,191805690,2687828,2687827,191805690,71.36087627663537
1,0,3,15,191805705,191805690,2687828,2687827,191805690,71.36087627663537
1,0,7,15,191805695,191805680,2687828,2687827,191805680,71.36087255615782
1,0,6,15,191805635,191805620,2687828,2687827,191805620,71.36085023329254
1,0,0,15,191805585,191805570,2687828,2687827,191805570,71.36083163090481
1,0,5,15,191805555,191805540,2687828,2687827,191805540,71.36082046947217
0,3,7,191850165,378897805,187047640,2687828,2687827,187047640,69.59065445804362
0,3,6,191850165,378897785,187047620,2687828,2687827,187047620,69.59064701708853
0,3,1,191850165,378897765,187047600,2687828,2687827,187047600,69.59063957613344
0,3,4,191850165,378897765,187047600,2687828,2687827,187047600,69.59063957613344
0,3,5,191850165,378897755,187047590,2687828,2687827,187047590,69.59063585565589
0,3,0,191850165,378897695,187047530,2687828,2687827,187047530,69.59061353279061
0,3,2,191850165,378897645,187047480,2687828,2687827,187047480,69.59059493040289
0,3,3,191850165,378897615,187047450,2687828,2687827,187047450,69.59058376897025
1,2,1,191805765,378739645,186933880,2687828,2687827,186933880,69.5483303054847
1,2,0,191805765,378739625,186933860,2687828,2687827,186933860,69.5483228645296
1,2,3,191805765,378739605,186933840,2687828,2687827,186933840,69.54831542357451
1,2,6,191805765,378739605,186933840,2687828,2687827,186933840,69.54831542357451
1,2,7,191805765,378739595,186933830,2687828,2687827,186933830,69.54831170309696
1,2,2,191805765,378739535,186933770,2687828,2687827,186933770,69.5482893802317
1,2,4,191805765,378739485,186933720,2687828,2687827,186933720,69.54827077784397
1,2,5,191805765,378739455,186933690,2687828,2687827,186933690,69.54825961641133
